idxVideo,email
8d2005ec35280deb6a438dc87b225f89,amico@email.it
b3072cd11f40eb57fd259555264476c6,user@mail.com
4adc9fee977fa04c357ed4c9b52aa3cc,amico2@ted.com
59c641a72b495d522a7932145d6c02b3,mariorossi@email.it
d227f2faf6ec185e54436d86463f499b,rossimario@goo.com
fe612cc9179e038f97816fce891022a6,dabanterlini@gmail.com
6e67b6ad4cc6b420fe86fb975925fb32,valli@statistica.pro
c593d7fd658f9ff5bc0c1aee2e9c917e,bianchimario@mail.fr
8c1fad5ce0dab8908dee527f88697ce2,fake@falso.com
5be32167a2dcc08470287a6029b7e4c5,rmor@email.it
